plantId,productName,botanicalName,usdaNationalMatch,usdaNationalConfidence,usdaCaliforniaMatch,usdaCaliforniaConfidence,permapeopleMatch,permapeopleScientific,permapeopleConfidence,companionRows
1,Alyssum,Alyssum Assorted,,,,,,,,0
2,Angelonia,Angelonia augustifolia,,,,,,,,0
3,Annual Dianthus,Dianthus Assorted,,,,,,,,0
4,Annual Verbena,,,,,,,,,0
5,Annual Vinca,Catharanthus roseus,,,,,,,,0
6,Begonia,Begonia Assorted,,,,,,,,0
7,Begonia Nonstop&#174;,Begonia Assorted,,,,,,,,0
8,California Poppy,Eschscholzia californica,,,,,,,,0
9,Celosia,Celosia plumosa,,,,,,,,0
10,Cosmos,Cosmos bipinnatus,,,,,,,,0
11,Firefly Petunia,,,,,,,,,0
12,FlameThrower&#8482; Coleus,Coleus x hybridus,,,,,,,,0
13,Hippo&#174; Polka Dot Plant,Hypoestes phyllostachya,,,,,,,,0
14,Impatiens,Impatiens Assorted,,,,,,,,0
15,Lobelia,Lobelia Assorted,,,,,,,,0
16,Marigold,,,,,,,,,0
17,Mojave&#174; Series Purslane,Portulaca umbraticola,,,,,,,,0
18,Nasturtium,,,,,,,,,0
19,New Guinea Impatiens,Impatiens hawkeri,,,,,,,,0
20,Petunia,Petunia Assorted,,,,,,,,0
21,Pocketbook Flower,,,,,,,,,0
22,Purslane,Portulaca oleracea,,,,,,,,0
23,Moss Rose,Portulaca grandiflora,,,,,,,,0
24,Red Hot Sally Sage,Salvia splendens,,,,,,,,0
25,Sage,Salvia farinacea 'Victoria Blue',,,,,,,,0
26,Soiree Kawaii&#174; Series Vinca,Catharanthus roseus,,,,,,,,0
27,Star Clusters,Pentas lanceolata,,,,,,,,0
28,SunBelievable&#8482; Sunflower,,,,,,,,,0
29,Suncredible&#174; Yellow Sunflower,,,,,,,,,0
30,Sunflower,Helianthus annuus,,,,,,,,0
31,SunPatiens&#174;,,,,,,,,,0
32,Supertunia&#174; Series Petunias,Grown by Matsuda's,,,,,,,,0
33,Surefire Cascade&#8482; Red Begonia,Begonia Assorted,,,,,,,,0
34,Zinnia,Zinnia elegans,,,,,,,,0
35,Cucumber 'Armenian',Cucumis melo,,,,,,,,0
36,Basil,Ocimum basilicum 'Purpurascens',,,,,,,,0
37,Basil 'Large Leaf Italian',Ocimum basilicum 'Large Leaf Italian',,,,,,,,0
38,Basil,Ocimum basilicum,,,,,,,,0
39,Basil,Ocimum basilicum var. thyrsiflora,,,,,,,,0
40,Bitter Melon,Cucumis sativus,,,,,,,,0
41,Borage,Borago officinalis,,,,,,,,0
42,Bush Bean 'Blue Lake',Phaseolus vulgaris,,,,,,,,0
43,Catnip,Nepeta cataria,,,,,,,,0
44,Celery,Apium graveolens,,,,,,,,0
45,Chamomile,Matricaria chamomilla,,,,,,,,0
46,Chives,Allium schoenoprasum,,,,,,,,0
47,Chives 'Garlic',Allium tuberosum,,,,,,,,0
48,Chives,Allium schoenoprasum,,,,,,,,0
49,Cilantro/Coriander,Coriandrum sativum,,,,,,,,0
50,Collard Greens,Brassica oleracea var. viridis,,,,,,,,0
51,Corn Bicolor,Zea mays,,,,,,,,0
52,Cucamelon,Cucumis sativus,,,,,,,,0
53,Cucumber,Cucumis sativus,,,,,,,,0
54,Cucumber 'English Tender Crisp',Cucumis sativus,,,,,,,,0
55,Cucumber 'Japanese Long',Cucumis sativus,,,,,,,,0
56,Cucumber 'Lemon',Cucumis sativus,,,,,,,,0
57,Cucumber 'Persian',Cucumis sativus,,,,,,,,0
58,Cucumber 'Pickling Bush',Cucumis sativus,,,,,,,,0
59,Cucumber 'Saladmore Bush Hybrid',Cucumis sativus,,,,,,,,0
60,Cucumber 'Spartan Valor',Cucumis sativus,,,,,,,,0
61,Dill,Anethum graveolens,,,,,,,,0
62,"Dill, Organic",Anethum graveolens,,,,,,,,0
63,Edamame Beans,Glycine max,,,,,,,,0
64,Eggplant,Solanum melongena,,,,,,,,0
65,Eggplant 'Cloud Nine',Solanum melongena,,,,,,,,0
66,Eggplant 'Fairytale',Solanum melongena,,,,,,,,0
67,Eggplant 'Ichiban',Solanum melongena,,,,,,,,0
68,Eggplant 'Japanese Long',Solanum melongena,,,,,,,,0
69,Eggplant 'Millionaire',Solanum melongena,,,,,,,,0
70,Fava Bean,Vicia faba,,,,,,,,0
71,Fennel 'Green Leaf',Foeniculum vulgare,,,,,,,,0
72,"Italian Parsley, Organic",Petroselinum crispum,,,,,,,,0
73,Kale,Brassica oleracea 'Blue Knight',,,,,,,,0
74,Kale,Brassica oleracea,,,,,,,,0
75,Kale,Brassica oleracea,,,,,,,,0
76,Lavender,,,,,,,,,0
