Plant_ID,Product_Name,Botanical_Name,Green_Acres_URL,Warnings,Price_Display,Height_ft,Width_ft,Light,Water
1,Alyssum,Alyssum Assorted,https://idiggreenacres.com/products/alyssum?variant=13996299354164,,$1.75-$5.25,0.33-0.5,0.83-0.83,Full Sun,Moderate
2,Angelonia,Angelonia augustifolia,https://idiggreenacres.com/products/angelonia?variant=42692135649449,,$8.95,1.5-1.5,1.5-1.5,Full Sun,Low
3,Annual Dianthus,Dianthus Assorted,https://idiggreenacres.com/products/annual-dianthus?variant=40447275827369,,$1.75-$7.95,1-2,1-2,Full Sun; Morning Sun,Moderate
4,Annual Verbena,,https://idiggreenacres.com/products/annual-verbena?variant=31618051014679,,$5.25,0.5-1.5,1.5-2,Filtered Sun; Full Sun,Moderate
5,Annual Vinca,Catharanthus roseus,https://idiggreenacres.com/products/annual-vinca?variant=39608474992809,,$1.75-$17.95,0.5-1,1-1,Full Sun,Moderate
6,Begonia,Begonia Assorted,https://idiggreenacres.com/products/begonia?variant=38470130303145,,$1.75-$23.50,0.67-1,0.67-1,Full Shade; Morning Sun,Moderate
7,Begonia Nonstop&#174;,Begonia Assorted,https://idiggreenacres.com/products/begonia-nonstop-174?variant=14660003954740,,$6.25,0.67-0.83,0.67-0.83,Full Shade; Morning Sun,Moderate
8,California Poppy,Eschscholzia californica,https://idiggreenacres.com/products/california-poppy?variant=14662286737460,,$8.95,1-2,1-1,Full Sun,Low
9,Celosia,Celosia plumosa,https://idiggreenacres.com/products/celosia?variant=14464823001140,,$1.75-$8.95,1-3,1-2,Full Sun,Moderate
10,Cosmos,Cosmos bipinnatus,https://idiggreenacres.com/products/cosmos?variant=39608488755369,,$1.75-$7.95,3-6,1-3,Full Sun,Moderate
11,Firefly Petunia,,https://idiggreenacres.com/products/firefly-petunia?variant=45702649249961,,$19.50,0.33-0.67,1-2,Full Sun,Moderate
12,FlameThrower&#8482; Coleus,Coleus x hybridus,https://idiggreenacres.com/products/flamethrower-8482-coleus?variant=29062897172532,,$6.25-$7.95,2-3,3-3,Full Shade; Morning Sun; Morning Sun/Afternoon Shade or Full Shade,Moderate
13,Hippo&#174; Polka Dot Plant,Hypoestes phyllostachya,https://idiggreenacres.com/products/hippo-174-polka-dot-plant?variant=28590628372532,,$5.25,1.33-1.83,0.67-1.17,Full Shade; Morning Sun,Moderate
14,Impatiens,Impatiens Assorted,https://idiggreenacres.com/products/impatiens?variant=39340870533289,,$1.75-$25.00,0.5-0.5,0.33-0.5,Full Shade,Moderate
15,Lobelia,Lobelia Assorted,https://idiggreenacres.com/products/lobelia?variant=38610146197673,,$5.25,0.67-1,1.67-2,Full Shade; Morning Sun,Moderate
16,Marigold,,https://idiggreenacres.com/products/marigold?variant=39340894650537,,$1.75-$23.50,1-1.17,1-1.17,Full Sun,Moderate
17,Mojave&#174; Series Purslane,Portulaca umbraticola,https://idiggreenacres.com/products/mojave-series-purslane?variant=47034993934505,,$7.50,0.33-0.5,1-2,Full Sun,Low
18,Nasturtium,,https://idiggreenacres.com/products/nasturtium?variant=28603415658548,,$5.25,0.83-1,0.5-0.67,Full Sun,Moderate
19,New Guinea Impatiens,Impatiens hawkeri,https://idiggreenacres.com/products/new-guinea-impatiens?variant=14615194337332,,$1.75-$7.50,1-2,1-3,Full Shade; Morning Sun,Moderate
20,Petunia,Petunia Assorted,https://idiggreenacres.com/products/petunia?variant=43810768421033,,$1.75-$23.50,0.33-0.67,1-2,Full Sun,Moderate
21,Pocketbook Flower,,https://idiggreenacres.com/products/pocketbook-flower?variant=14642797740084,,$6.25,0.5-1,0.5-1,Filtered Sun; Morning Sun,Moderate
22,Purslane,Portulaca oleracea,https://idiggreenacres.com/products/purslane-1?variant=40975006728361,,$6.25-$16.95,0.33-0.5,1-2,Full Sun,Low
23,Moss Rose,Portulaca grandiflora,https://idiggreenacres.com/products/purslane?variant=31577603932183,,$1.75-$6.95,0.33-0.5,1-2,Full Sun,Low
24,Red Hot Sally Sage,Salvia splendens,https://idiggreenacres.com/products/red-hot-sally-sage?variant=28734737154100,,$3.25-$5.25,0.67-1,0.5-0.67,Full Sun,Moderate
