Plant_ID,Category,Common_Name,Green_Acres_URL,Estimate_Confidence,Needs_Green_Acres_Source,Green_Acres_Source_Need_Reason,Mature_Height_ft_est,Mature_Width_ft_est,High_Confidence_Fields,Knowledge_Notes
1,ANNUALS,Alyssum,https://idiggreenacres.com/products/alyssum?variant=13996299354164,High-confidence estimate,FALSE,,0.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
2,ANNUALS,Angelonia,https://idiggreenacres.com/products/angelonia?variant=42692135649449,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
3,ANNUALS,Annual Dianthus,https://idiggreenacres.com/products/annual-dianthus?variant=40447275827369,High-confidence estimate,FALSE,,0.75,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
4,ANNUALS,Annual Verbena,https://idiggreenacres.com/products/annual-verbena?variant=31618051014679,High-confidence estimate,FALSE,,1,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
5,ANNUALS,Annual Vinca,https://idiggreenacres.com/products/annual-vinca?variant=39608474992809,High-confidence estimate,FALSE,,1,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
6,ANNUALS,Begonia,https://idiggreenacres.com/products/begonia?variant=38470130303145,High-confidence estimate,FALSE,,1,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
7,ANNUALS,Begonia Nonstop,https://idiggreenacres.com/products/begonia-nonstop-174?variant=14660003954740,High-confidence estimate,FALSE,,1,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
8,ANNUALS,California Poppy,https://idiggreenacres.com/products/california-poppy?variant=14662286737460,High-confidence estimate,FALSE,,1,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
9,ANNUALS,Celosia,https://idiggreenacres.com/products/celosia?variant=14464823001140,High-confidence estimate,FALSE,,1.5,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
10,ANNUALS,Cosmos,https://idiggreenacres.com/products/cosmos?variant=39608488755369,High-confidence estimate,FALSE,,3,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
11,ANNUALS,Firefly Petunia,https://idiggreenacres.com/products/firefly-petunia?variant=45702649249961,High-confidence estimate,FALSE,,1,2.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
12,ANNUALS,Flamethrower Coleus,https://idiggreenacres.com/products/flamethrower-8482-coleus?variant=29062897172532,High-confidence estimate,FALSE,,2,2,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
13,ANNUALS,Hippo Polka Dot Plant,https://idiggreenacres.com/products/hippo-174-polka-dot-plant?variant=28590628372532,Low guesstimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual category only. Exact size needs source. | Broad annual category fallback. Verify exact mature size.
14,ANNUALS,Impatiens,https://idiggreenacres.com/products/impatiens?variant=39340870533289,High-confidence estimate,FALSE,,1.5,1.5,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
15,ANNUALS,Lobelia,https://idiggreenacres.com/products/lobelia?variant=38610146197673,High-confidence estimate,FALSE,,0.75,1,Mature_Height_ft_est; Mature_Width_ft_est; Minimum_Spacing_ft_est; Flowers; Flower_Color_Est; Evergreen_Est; Plant_Form_Est; Pool_Suitable_Est; Slope_Suitable_Est; Privacy_Suitable_Est; Plan_Symbol_File; Plan_Symbol_Color,Annual type matched.
