plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes
1,Alyssum,Alyssum Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
2,Angelonia,Angelonia augustifolia,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
3,Annual Dianthus,Dianthus Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
4,Annual Verbena,,ANNUALS,0,poor,18,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.
5,Annual Vinca,Catharanthus roseus,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
6,Begonia,Begonia Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
7,Begonia Nonstop®,Begonia Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
8,California Poppy,Eschscholzia californica,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
9,Celosia,Celosia plumosa,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
10,Cosmos,Cosmos bipinnatus,ANNUALS,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
11,Firefly Petunia,,ANNUALS,0,poor,30,poor,62,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
12,FlameThrower&#8482; Coleus,Coleus x hybridus,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
13,Hippo® Polka Dot Plant,Hypoestes phyllostachya,ANNUALS,30,poor,0,poor,20,20,20,low,seasonal/deciduous,low,normal,foliage color,,,
14,Impatiens,Impatiens Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
15,Lobelia,Lobelia Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
16,Marigold,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
17,Mojave® Series Purslane,Portulaca umbraticola,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
18,Nasturtium,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
19,New Guinea Impatiens,Impatiens hawkeri,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
20,Petunia,Petunia Assorted,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
21,Pocketbook Flower,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
22,Purslane,Portulaca oleracea,ANNUALS,0,poor,6,poor,62,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
23,Moss Rose,Portulaca grandiflora,ANNUALS,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium-high,caution,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
24,Red Hot Sally Sage,Salvia splendens,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
25,Sage,Salvia farinacea 'Victoria Blue',ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
26,Soiree Kawaii® Series Vinca,Catharanthus roseus,ANNUALS,0,poor,6,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
27,Star Clusters,Pentas lanceolata,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
28,SunBelievable&#8482; Sunflower,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
29,Suncredible® Yellow Sunflower,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
30,Sunflower,Helianthus annuus,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
31,SunPatiens®,,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
32,Supertunia® Series Petunias,Grown by Matsuda's,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
