Common_Name,Botanical_Name,Category,Plan_Symbol_File,Plan_Symbol_Type,Icon_Label,Plan_Symbol_Color
Alyssum,Alyssum Assorted,ANNUALS,55.svg,spiral-round-shrub,Spiral round shrub,#B988A7
Angelonia,Angelonia augustifolia,ANNUALS,39.svg,leaf-star-rosette,Leaf star rosette,#CDA8C2
Annual Dianthus,Dianthus Assorted,ANNUALS,101.svg,layered-flower-rosette,Layered flower rosette,#CA87C5
Annual Verbena,,ANNUALS,82.svg,small-flower-cluster,Small flower cluster,#A3C88A
Annual Vinca,Catharanthus roseus,ANNUALS,89.svg,dense-needle-conifer,Dense needle/conifer,#DFA2BD
Begonia,Begonia Assorted,ANNUALS,14.svg,broadleaf-rosette,Broadleaf rosette,#C695AE
Begonia Nonstop&#174;,Begonia Assorted,ANNUALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#C383A5
California Poppy,Eschscholzia californica,ANNUALS,3.svg,leafy-rosette,Leafy rosette,#F3CF3E
Celosia,Celosia plumosa,ANNUALS,82.svg,small-flower-cluster,Small flower cluster,#759B57
Cosmos,Cosmos bipinnatus,ANNUALS,3.svg,leafy-rosette,Leafy rosette,#C58CBB
Firefly Petunia,,ANNUALS,91.svg,loose-groundcover-mass,Loose groundcover mass,#D0AEC8
FlameThrower&#8482; Coleus,Coleus x hybridus,ANNUALS,46.svg,palm,Palm,#DAA5CA
Hippo&#174; Polka Dot Plant,Hypoestes phyllostachya,ANNUALS,16.svg,large-flowering-plant,Large flowering plant,#C483A6
Impatiens,Impatiens Assorted,ANNUALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#C780C0
Lobelia,Lobelia Assorted,ANNUALS,53.svg,daisy-flower,Daisy flower,#C799BD
Marigold,,ANNUALS,88.svg,textured-round-shrub,Textured round shrub,#F98D57
Mojave&#174; Series Purslane,Portulaca umbraticola,ANNUALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#C68BBD
Nasturtium,,ANNUALS,87.svg,dense-wavy-shrub,Dense wavy shrub,#BE84AC
New Guinea Impatiens,Impatiens hawkeri,ANNUALS,70.svg,wide-petal-rosette,Wide petal rosette,#D1A8CE
Petunia,Petunia Assorted,ANNUALS,36.svg,vine-branching,Vine branching,#D9A5D1
Pocketbook Flower,,ANNUALS,59.svg,lobed-flower,Lobed flower,#C077A8
Purslane,Portulaca oleracea,ANNUALS,21.svg,irregular-shrub-mass,Irregular shrub mass,#CFA5C4
Moss Rose,Portulaca grandiflora,ANNUALS,91.svg,loose-groundcover-mass,Loose groundcover mass,#D86CB7
Red Hot Sally Sage,Salvia splendens,ANNUALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#CD474E
Sage,Salvia farinacea 'Victoria Blue',ANNUALS,83.svg,needle-leaf-clump,Needle leaf clump,#7382BA
Soiree Kawaii&#174; Series Vinca,Catharanthus roseus,ANNUALS,9.svg,smooth-shrub-mass,Smooth shrub mass,#D56A93
Star Clusters,Pentas lanceolata,ANNUALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#D39DC4
SunBelievable&#8482; Sunflower,,ANNUALS,15.svg,geometric-rosette,Geometric rosette,#E3C040
Suncredible&#174; Yellow Sunflower,,ANNUALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#E3C23A
Sunflower,Helianthus annuus,ANNUALS,35.svg,small-flowering-mound,Small flowering mound,#DEA935
SunPatiens&#174;,,ANNUALS,59.svg,lobed-flower,Lobed flower,#D5A9CD
Supertunia&#174; Series Petunias,Grown by Matsuda's,ANNUALS,17.svg,smooth-spreading-mass,Smooth spreading mass,#D79ED2
Surefire Cascade&#8482; Red Begonia,Begonia Assorted,ANNUALS,75.svg,textured-round-groundcover,Textured round groundcover,#DF7459
